79m2 3pok z z garażem i piwnicą -Dobrego Pasterza;Kraków , Prądnik Czerwony;3 pokoje;620 000 zł;79 m²;7 848 zł/m²;https://www.otodom.pl/oferta/79m2-3pok-z-z-garazem-i-piwnica-dobrego-pasterza-ID43OY6.html#bcc2421ba9;2020-02-15 13:32:05.691974
3pok mieszkanie blisko Dworca Głównego Ariańska;Kraków , Śródmieście;3 pokoje;560 000 zł;64 m²;8 750 zł/m²;https://www.otodom.pl/oferta/3pok-mieszkanie-blisko-dworca-glownego-arianska-ID43OXZ.html#bcc2421ba9;2020-02-15 13:32:05.691974
Meissnera 3 pok 59m2 od strony skweru;Kraków , małopolskie;3 pokoje;539 000 zł;59,30 m²;9 089 zł/m²;https://www.otodom.pl/oferta/meissnera-3-pok-59m2-od-strony-skweru-ID44h4p.html#bcc2421ba9;2020-02-15 13:32:05.691974
Atrakcyjne 2-pok Bronowice Wielkie garaż;Kraków , Prądnik Biały, Bronowice Wielkie;2 pokoje;419 000 zł;41 m²;10 220 zł/m²;https://www.otodom.pl/oferta/atrakcyjne-2-pok-bronowice-wielkie-garaz-ID44naw.html#bcc2421ba9;2020-02-15 13:32:05.691974
Apartament ze spektakularną panoramą Krakowa.;Kraków , Dębniki, Ruczaj;4 pokoje;1 100 000 zł;103 m²;10 680 zł/m²;https://www.otodom.pl/oferta/apartament-ze-spektakularna-panorama-krakowa-ID44dd2.html#bcc2421ba9;2020-02-15 13:32:05.691974
Otwarte na zmiany M4 szuka rodziny.;Kraków , Prądnik Czerwony;4 pokoje;699 000 zł;103 m²;6 786 zł/m²;https://www.otodom.pl/oferta/otwarte-na-zmiany-m4-szuka-rodziny-ID43IZL.html#bcc2421ba9;2020-02-15 13:32:05.691974
Mieszkanie do wprowadzenia - Rondo Matecznego;Kraków , Podgórze;1 pokój;369 900 zł;30 m²;12 330 zł/m²;https://www.otodom.pl/oferta/mieszkanie-do-wprowadzenia-rondo-matecznego-ID440Oz.html#bcc2421ba9;2020-02-15 13:32:05.691974
Oferta od Właściciela - Stan Deweloperski;Kraków , Prądnik Biały;4 pokoje;499 000 zł;77 m²;6 481 zł/m²;https://www.otodom.pl/oferta/oferta-od-wlasciciela-stan-deweloperski-ID44HCy.html#bcc2421ba9;2020-02-15 13:32:05.691974
SKAWIŃSKA Kawalerka BALKON kamienica po remoncie!;Kraków , Stare Miasto;1 pokój;455 000 zł;26,98 m²;16 864 zł/m²;https://www.otodom.pl/oferta/skawinska-kawalerka-balkon-kamienica-po-remoncie-ID4412y.html#bcc2421ba9;2020-02-15 13:32:05.691974
ZIELONKI !! Popielate Wzgórza 2.0!! II ETAP !!;Kraków , Prądnik Biały;3 pokoje;409 000 zł;57,60 m²;7 101 zł/m²;https://www.otodom.pl/oferta/zielonki-popielate-wzgorza-2-0-ii-etap-ID40Mtj.html#bcc2421ba9;2020-02-15 13:32:05.691974
