;opis;dzielnica;pokoje;cena;metraz;cena_za_metr;link;data;ulica;lokator_ulica_dzielnica;geo_location;point;latitude;longitude;altitude;geometry;dst_center;vist_dist;trams_dist;cena_za_metr2
454;Mieszkanie 2-pok z garażem - Solvay Park;Kraków , Łagiewniki-Borek Fałęcki;2 pokoje;360000.0;54.0;6667.0;https://www.otodom.pl/oferta/mieszkanie-2-pok-z-garazem-solvay-park-ID44BGd.html#9daaa38f30;2020-02-10 18:47:33.986340;Solvaya;Kraków, Kraków , Łagiewniki-Borek Fałęcki, Solvaya;Ernesta Solvaya, Osiedle Polana Żywiecka, Łagiewniki-Borek Fałęcki, Kraków, województwo małopolskie, 30-427, Polska;(50.0141253, 19.9116839, 0.0);50.0141253;19.9116839;0.0;POINT (565298.4931948668 238936.5609450648);5541;2886.650848338551;1070.3171668332243;6667.0
455;3-pokojowe - Ruczaj + miejsce w garażu;Kraków , małopolskie;3 pokoje;650000.0;75.0;8667.0;https://www.otodom.pl/oferta/3-pokojowe-ruczaj-miejsce-w-garazu-ID44BLe.html#9daaa38f30;2020-02-10 18:47:33.986340;Ruczaj;Kraków, Kraków , małopolskie, Ruczaj;Ruczaj, Osiedle Ruczaj-Zaborze, Dębniki, Kraków, województwo małopolskie, 30-409, Polska;(50.0259495, 19.9198508, 0.0);50.0259495;19.9198508;0.0;POINT (565867.2616859295 240257.9741840241);4107;2081.2718460046985;635.6711627790163;8667.0
456;Kawalerka na poddaszu, 35 m2, ul. Szlachtowskiego;Kraków , Krowodrza;1 pokój;260000.0;35.05;7418.0;https://www.otodom.pl/oferta/kawalerka-na-poddaszu-35-m2-ul-szlachtowskiego-ID44BKC.html#9daaa38f30;2020-02-10 18:47:33.986340;Szlachtowskiego;Kraków, Kraków , Krowodrza, Szlachtowskiego;Feliksa Szlachtowskiego, Łobzów, Krowodrza, Kraków, województwo małopolskie, 30-124, Polska;(50.0731376, 19.9047949, 0.0);50.0731376;19.9047949;0.0;POINT (564725.6776610728 245489.7630269704);2727;2423.5601634242985;314.9366216069235;7418.0
457;Mieszkanie dwupoziomowe Kraków - Sidzina;Kraków , Dębniki, Sidzina;4 pokoje;579000.0;85.0;6812.0;https://www.otodom.pl/oferta/mieszkanie-dwupoziomowe-krakow-sidzina-ID44BH1.html#9daaa38f30;2020-02-10 18:47:33.987337;"""Kraków""";"Kraków, Kraków , Dębniki, Sidzina, ""Kraków""";Kraków Sidzina, Topografów, Sidzina, Dębniki, Kraków, województwo małopolskie, 30-399, Polska;(49.9855309, 19.8746169, 0.0);49.9855309;19.8746169;0.0;POINT (562680.8089087415 235726.6111213788);9535;5855.212244920903;3754.3465494554416;6812.0
458;Os. Kombatantów | 55m2 | 3pokoje | Zielona okolica;Kraków , Mistrzejowice;3 pokoje;439000.0;55.0;7982.0;https://www.otodom.pl/oferta/os-kombatantow-55m2-3pokoje-zielona-okolica-ID44BFp.html#9daaa38f30;2020-02-10 18:47:33.987337;Kombatantów;Kraków, Kraków , Mistrzejowice, Kombatantów;Osiedle Kombatantów, Mistrzejowice, Kraków, województwo małopolskie, 31-630, Polska;(50.0925382, 20.00902871768482, 0.0);50.09253820000001;20.00902871768482;0.0;POINT (572152.9218189595 247741.6425429918);6164;3844.104556715144;257.6256944257338;7982.0
459;Os. Teatralne | 53m2 | 3pokoje | Nowoczesny desain;Kraków , Nowa Huta;3 pokoje;479000.0;53.0;9038.0;https://www.otodom.pl/oferta/os-teatralne-53m2-3pokoje-nowoczesny-desain-ID44BFo.html#9daaa38f30;2020-02-10 18:47:33.987337;Teatralne;Kraków, Kraków , Nowa Huta, Teatralne;Osiedle Teatralne, Nowa Huta, Kraków, województwo małopolskie, Polska;(50.0797342, 20.0327324, 0.0);50.0797342;20.0327324;0.0;POINT (573867.5536850548 246341.6503876057);7075;2529.927514470727;242.38535869626446;9038.0
460;Kraków, Bronowice Wielkie, Ojcowska 76;Kraków , Bronowice;5 pokoi;658000.0;123.0;5350.0;https://www.otodom.pl/oferta/krakow-bronowice-wielkie-ojcowska-76-ID44BDY.html#9daaa38f30;2020-02-10 18:47:33.987337;Ojcowska;Kraków, Kraków , Bronowice, Ojcowska;Ojcowska, Bronowice Małe, Bronowice, Kraków, województwo małopolskie, 31-351, Polska;(50.0909418, 19.8811497, 0.0);50.0909418;19.8811497;0.0;POINT (563010.8675204101 247448.4906284576);5248;4833.396673048646;998.8937966635152;5350.0
461;Oboźna inwestycyjne;Kraków , Krowodrza;1 pokój;252000.0;25.0;10080.0;https://www.otodom.pl/oferta/obozna-inwestycyjne-ID44BDS.html#9daaa38f30;2020-02-10 18:47:33.987337;Oboźna;Kraków, Kraków , Krowodrza, Oboźna;Oboźna, Stara Krowodrza, Krowodrza, Kraków, województwo małopolskie, 30-010, Polska;(50.0797998, 19.9287252, 0.0);50.0797998;19.9287252;0.0;POINT (566428.3308404414 246251.2739920234);2193;2752.3852859213857;584.4786545525653;10080.0
462;Apartamenty Działkowa C15-do odbioru VI 2020;Kraków , Bieżanów-Prokocim;3 pokoje;383523.0;52.18;7350.0;https://www.otodom.pl/oferta/apartamenty-dzialkowa-c15-do-odbioru-vi-2020-ID41a5j.html#9daaa38f30;2020-02-10 18:47:33.987337;Działkowa;Kraków, Kraków , Bieżanów-Prokocim, Działkowa;Działkowa, Nowy Bieżanów, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-854, Polska;(50.0220962, 20.0174934, 0.0);50.02209620000001;20.0174934;0.0;POINT (572864.8105122502 239920.2790303715);7137;2500.860434551267;678.1003220770675;7350.0
463;Kawalerka 35m2, ul. Rakowicka 20, Kraków;Kraków , Stare Miasto;1 pokój;400000.0;35.0;11429.0;https://www.otodom.pl/oferta/kawalerka-35m2-ul-rakowicka-20-krakow-ID41td8.html#9daaa38f30;2020-02-10 18:47:33.987337;Rakowicka;Kraków, Kraków , Stare Miasto, Rakowicka;Rakowicka, Warszawskie, Grzegórzki, Kraków, województwo małopolskie, 31-511, Polska;(50.068229, 19.9525984, 0.0);50.068229;19.9525984;0.0;POINT (568152.2658953031 244986.6823723251);1316;1770.1987187994741;16.490531476898568;11429.0
464;2 pokojowe mieszkanie, Prądnik Czerwony;Kraków , Prądnik Czerwony;2 pokoje;435000.0;45.0;9667.0;https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-pradnik-czerwony-ID44v2f.html#a9383fdd22;2020-02-10 18:47:34.972639;Prądnika;Kraków, Kraków , Prądnik Czerwony, Prądnika;Enklawa Prądnika, Prądnik Czerwony, Kraków, województwo małopolskie, Polska;(50.0933468, 19.98679355896063, 0.0);50.0933468;19.986793558960628;0.0;POINT (570561.786040339 247810.2744327188);5006;3677.9595062709154;707.4642569890632;9667.0
465;Kawalerka, 4/4 , 26m Strusia Bieńczyce Kraków;Kraków , Bieńczyce;1 pokój;278000.0;26.0;10692.0;https://www.otodom.pl/oferta/kawalerka-4-4-26m-strusia-bienczyce-krakow-ID44AwD.html#a9383fdd22;2020-02-10 18:47:34.973640;Strusia;Kraków, Kraków , Bieńczyce, Strusia;Osiedle Józefa Strusia, Bieńczyce, Kraków, województwo małopolskie, Polska;(50.08848715, 20.009869196375526, 0.0);50.08848715;20.009869196375526;0.0;POINT (572219.1093478991 247292.180990384);5970;3390.848332003769;603.1625606239824;10692.0
466;Kraków, Mistrzejowice, os. Tysiąclecia 44m+balkon;Kraków , Mistrzejowice;2 pokoje;400000.0;44.0;9091.0;https://www.otodom.pl/oferta/krakow-mistrzejowice-os-tysiaclecia-44m-balkon-ID44ByJ.html#a9383fdd22;2020-02-10 18:47:34.973640;Mistrzejowicka;Kraków, Kraków , Mistrzejowice, Mistrzejowicka;Mistrzejowicka, Mistrzejowice, Kraków, województwo małopolskie, 31-638, Polska;(50.094553, 20.0276976, 0.0);50.09455300000001;20.027697600000003;0.0;POINT (573484.7766830486 247983.7896609381);7409;4036.62232110354;669.849927117978;9091.0
467;Nowe mieszkanie 1-pok. Kraków, Ruczaj;Kraków , Dębniki, Ruczaj;1 pokój;375000.0;39.13;9583.0;https://www.otodom.pl/oferta/nowe-mieszkanie-1-pok-krakow-ruczaj-ID43YFT.html#a9383fdd22;2020-02-10 18:47:34.973640;Ruczaj;Kraków, Kraków , Dębniki, Ruczaj, Ruczaj;Ruczaj, Osiedle Ruczaj-Zaborze, Dębniki, Kraków, województwo małopolskie, 30-409, Polska;(50.0259495, 19.9198508, 0.0);50.0259495;19.9198508;0.0;POINT (565867.2616859295 240257.9741840241);4107;2081.2718460046985;635.6711627790163;9583.0
468;Prywatne Komuny Paryskiej nr 42.;Kraków , Swoszowice;6 pokoi;950000.0;174.0;5460.0;https://www.otodom.pl/oferta/prywatne-komuny-paryskiej-nr-42-ID42deE.html#a9383fdd22;2020-02-10 18:47:34.973640;Paryskiej;Kraków, Kraków , Swoszowice, Paryskiej;Komuny Paryskiej, Kobierzyn, Swoszowice, Kraków, województwo małopolskie, 30-389, Polska;(49.9997609, 19.8943402, 0.0);49.9997609;19.8943402;0.0;POINT (564075.3792182028 237324.9704207378);7490;4246.065718722285;2061.024052783326;5460.0
469;Kraków, ul. Śliczna blisko Quattro Business Park;Kraków , Prądnik Czerwony, Wieczysta;2 pokoje;515000.0;54.46;9456.0;https://www.otodom.pl/oferta/krakow-ul-sliczna-blisko-quattro-business-park-ID3oy60.html#a9383fdd22;2020-02-10 18:47:34.973640;Śliczna;Kraków, Kraków , Prądnik Czerwony, Wieczysta, Śliczna;Śliczna, Wieczysta, Prądnik Czerwony, Kraków, województwo małopolskie, 31-444, Polska;(50.0732132, 19.9762981, 0.0);50.07321320000001;19.976298100000005;0.0;POINT (569840.5585650827 245562.5621479983);3052;1595.508761725824;524.3123118745476;9456.0
470;Trzy pokoje, 62m, Prądnik Biały, Kraków;Kraków , Prądnik Biały;3 pokoje;579000.0;61.32;9442.0;https://www.otodom.pl/oferta/trzy-pokoje-62m-pradnik-bialy-krakow-ID44Brz.html#a9383fdd22;2020-02-10 18:47:34.973640;Prądnika;Kraków, Kraków , Prądnik Biały, Prądnika;Prądnik Biały, Kraków, województwo małopolskie, Polska;(50.0955225, 19.9283169, 0.0);50.0955225;19.9283169;0.0;POINT (566377.4070532473 247998.4942823648);3900;4500.190004032419;779.7765063162345;9442.0
471;Mieszkanie Kraków STARE MIASTO Wielopole 38 metr;Kraków , Stare Miasto;2 pokoje;650000.0;38.0;17105.0;https://www.otodom.pl/oferta/mieszkanie-krakow-stare-miasto-wielopole-38-metr-ID44cvZ.html#a9383fdd22;2020-02-10 18:47:34.973640;"""Kraków""";"Kraków, Kraków , Stare Miasto, ""Kraków""";Kraków, województwo małopolskie, Polska;(50.0619474, 19.9368564, 0.0);50.0619474;19.9368564;0.0;POINT (567034.7997178583 244274.2426178176);133;872.2474472817381;319.62554019029886;15000.0
472;Sprzedam 76m2 mieszkanie Ulica Pawia 2mieszkania;Kraków , Stare Miasto;2 pokoje;840000.0;76.0;11053.0;https://www.otodom.pl/oferta/sprzedam-76m2-mieszkanie-ulica-pawia-2mieszkania-ID43rvW.html#a9383fdd22;2020-02-10 18:47:34.974634;Pawia;Kraków, Kraków , Stare Miasto, Pawia;Pawia, Kleparz, Stare Miasto, Kraków, województwo małopolskie, 31-154, Polska;(50.0691779, 19.9451093, 0.0);50.0691779;19.9451093;0.0;POINT (567615.1434787014 245085.3479808709);1041;1859.0200893588105;151.57613678053943;11053.0
473;4 pokojowe mieszkanie w zielonej części Bronowic;Kraków , Bronowice;4 pokoje;450700.0;66.0;6829.0;https://www.otodom.pl/oferta/4-pokojowe-mieszkanie-w-zielonej-czesci-bronowic-ID44Ado.html#cf5342ca27;2020-02-10 18:47:36.032898;Bronowicka;Kraków, Kraków , Bronowice, Bronowicka;Bronowicka, Bronowice, Kraków, województwo małopolskie, 30-092, Polska;(50.0778252, 19.9008289, 0.0);50.07782520000001;19.9008289;0.0;POINT (564435.6860522896 246007.3624577401);3246;2988.93125960398;8.634463758202077;6829.0
474;2 pok. /53m2/Podgórze/Kurdwanów/ul. Bujaka;Kraków , Podgórze Duchackie, Kurdwanów;2 pokoje;399000.0;53.0;7528.0;https://www.otodom.pl/oferta/2-pok-53m2-podgorze-kurdwanow-ul-bujaka-ID4489u.html#cf5342ca27;2020-02-10 18:47:36.033895;Bujaka;Kraków, Kraków , Podgórze Duchackie, Kurdwanów, Bujaka;Bujaka, Kurdwanów, Podgórze Duchackie, Kraków, województwo małopolskie, Polska;(50.009635200000005, 19.948395750000003, 0.0);50.00963520000001;19.948395750000003;0.0;POINT (567934.2337184103 238470.1971203033);5760;3879.8011700330535;461.087383828329;7528.0
475;ZIELONKI !! Popielate Wzgórza 2.0!! II ETAP !!;Kraków , Prądnik Biały;3 pokoje;409000.0;57.6;7101.0;https://www.otodom.pl/oferta/zielonki-popielate-wzgorza-2-0-ii-etap-ID40Mtj.html#cf5342ca27;2020-02-10 18:47:36.033895;Popiela;Kraków, Kraków , Prądnik Biały, Popiela;Kronikarza Galla, Łobzów, Krowodrza, Kraków, województwo małopolskie, 30-053, Polska;(50.0744391, 19.9149159, 0.0);50.0744391;19.9149159;0.0;POINT (565447.914190442 245643.2424971201);2224;2391.4200728761302;149.53841327267384;7101.0
476;***Wyjątkowe mieszkanie*** 65m2, Ruczaj, Dębniki;Kraków , Dębniki, Ruczaj;3 pokoje;595000.0;65.8;9043.0;https://www.otodom.pl/oferta/wyjatkowe-mieszkanie-65m2-ruczaj-debniki-ID44zJz.html#cf5342ca27;2020-02-10 18:47:36.033895;Ruczaj;Kraków, Kraków , Dębniki, Ruczaj, Ruczaj;Ruczaj, Osiedle Ruczaj-Zaborze, Dębniki, Kraków, województwo małopolskie, 30-409, Polska;(50.0259495, 19.9198508, 0.0);50.0259495;19.9198508;0.0;POINT (565867.2616859295 240257.9741840241);4107;2081.2718460046985;635.6711627790163;9043.0
477;Mieszkanie Kraków, Podgórze, Ruczaj, Kobierzyńska;Kraków , Dębniki, Ruczaj;2 pokoje;330000.0;42.65;7737.0;https://www.otodom.pl/oferta/mieszkanie-krakow-podgorze-ruczaj-kobierzynska-ID44Be2.html#589aa700e3;2020-02-10 18:47:37.417394;Ruczaj;Kraków, Kraków , Dębniki, Ruczaj, Ruczaj;Ruczaj, Osiedle Ruczaj-Zaborze, Dębniki, Kraków, województwo małopolskie, 30-409, Polska;(50.0259495, 19.9198508, 0.0);50.0259495;19.9198508;0.0;POINT (565867.2616859295 240257.9741840241);4107;2081.2718460046985;635.6711627790163;7737.0
478;3 pok. 72 m2, Górka Narodowa, Prądnik Biały;Kraków , Prądnik Biały, Górka Narodowa;3 pokoje;520000.0;72.47;7175.0;https://www.otodom.pl/oferta/3-pok-72-m2-gorka-narodowa-pradnik-bialy-ID440Z2.html#589aa700e3;2020-02-10 18:47:37.417394;Góra;Kraków, Kraków , Prądnik Biały, Górka Narodowa, Góra;"Schron amunicyjny ""Łysa Góra"", Węgrzecka, Górka Narodowa, Prądnik Biały, Kraków, województwo małopolskie, 31-242, Polska";(50.105246, 19.96920205268595, 0.0);50.105246;19.96920205268595;0.0;POINT (569286.7417427578 249116.4023994775);5400;5150.638415606395;2237.8310661863047;7175.0
479;Kawalerka przy ul. Wasilewskiego, 22m2;Kraków , Dębniki;1 pokój;355000.0;22.3;15919.0;https://www.otodom.pl/oferta/kawalerka-przy-ul-wasilewskiego-22m2-ID44Bc1.html#589aa700e3;2020-02-10 18:47:37.417394;Wasilewskiego;Kraków, Kraków , Dębniki, Wasilewskiego;Edmunda Wasilewskiego, Dębniki, Kraków, województwo małopolskie, 30-337, Polska;(50.0491675, 19.9285625, 0.0);50.0491675;19.9285625;0.0;POINT (566459.0071806378 242846.3524282863);1478;340.6226063399289;183.47037058241207;15000.0
480;3 pokoje w doskonałej lokalizacji, ul. Kapelanka;Kraków , Dębniki;3 pokoje;594000.0;66.06;8992.0;https://www.otodom.pl/oferta/3-pokoje-w-doskonalej-lokalizacji-ul-kapelanka-ID41kAE.html#589aa700e3;2020-02-10 18:47:37.418391;Kapelanka;Kraków, Kraków , Dębniki, Kapelanka;Kapelanka, Zakrzówek, Dębniki, Kraków, województwo małopolskie, 30-347, Polska;(50.032001, 19.9259359, 0.0);50.032001;19.9259359;0.0;POINT (566294.6564807026 240935.9727919856);3338;1688.600294644034;153.53153284164947;8992.0
481;Apartament ***** Wiślane Tarasy 2.0 - Grzegórzecka;Kraków , Grzegórzki;3 pokoje;1190000.0;60.0;19833.0;https://www.otodom.pl/oferta/apartament-wislane-tarasy-2-0-grzegorzecka-ID44gQV.html#589aa700e3;2020-02-10 18:47:37.418391;Wiślana;Kraków, Kraków , Grzegórzki, Wiślana;Mierzeja Wiślana, Mały Płaszów, Podgórze, Kraków, województwo małopolskie, 30-716, Polska;(50.038134, 20.0042085, 0.0);50.038134;20.0042085;0.0;POINT (571889.5218590654 241689.9986086423);5368;859.5381344545566;289.27065938745534;15000.0
482;Kozłówek Ładne 1pok 25m2 279 000 do Negocjacji;Kraków , Podgórze;1 pokój;279000.0;25.0;11160.0;https://www.otodom.pl/oferta/kozlowek-ladne-1pok-25m2-279-000-do-negocjacji-ID44B2h.html#b5bf170a47;2020-02-10 18:47:38.400471;Kozłówce;Kraków, Kraków , Podgórze, Kozłówce;Na Kozłówce, Osiedle Kozłówek, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-664, Polska;(50.0187848, 19.9821103, 0.0);50.0187848;19.9821103;0.0;POINT (570335.8320297964 239518.3362252237);5653;3505.5097298909163;327.21223465966955;11160.0
483;Mieszkanie Kraków ul. Nowosądecka, 34 m2, 2 pokoje;Kraków , Podgórze Duchackie, Wola Duchacka;2 pokoje;335000.0;34.0;9853.0;https://www.otodom.pl/oferta/mieszkanie-krakow-ul-nowosadecka-34-m2-2-pokoje-ID44AVX.html#df521ce691;2020-02-10 18:47:39.356913;"""Kraków""";"Kraków, Kraków , Podgórze Duchackie, Wola Duchacka, ""Kraków""";Kraków Bonarka, Kładka pieszo-rowerowa, Wola Duchacka, Podgórze Duchackie, Kraków, województwo małopolskie, 30-416, Polska;(50.0293189, 19.9462275, 0.0);50.0293189;19.9462275;0.0;POINT (567751.2342442736 240656.0522081703);3571;1693.0379935073563;671.4454283868005;9853.0
484;Grzegórzki 35M2,2 Pok.1 Piętro,Do Wprowadzenia;Kraków , Grzegórzki;2 pokoje;398000.0;35.0;11371.0;https://www.otodom.pl/oferta/grzegorzki-35m2-2-pok-1-pietro-do-wprowadzenia-ID44AUk.html#df521ce691;2020-02-10 18:47:39.356913;Grzegórzeckie;Kraków, Kraków , Grzegórzki, Grzegórzeckie;Rondo Grzegórzeckie, Grzegórzecka, Wesoła, Grzegórzki, Kraków, województwo małopolskie, 31-539, Polska;(50.05760175, 19.957833465730346, 0.0);50.05760175;19.957833465730342;0.0;POINT (568541.9372308353 243810.2551311059);1465;532.1757339388414;8.926368849360403;11371.0
485;2 pokoje, 39m2, ogród, zamknięte osiedle;Kraków , Swoszowice, Opatkowice;2 pokoje;339000.0;39.0;8692.0;https://www.otodom.pl/oferta/2-pokoje-39m2-ogrod-zamkniete-osiedle-ID43Zjj.html#ebf75736ab;2020-02-10 18:47:40.351869;Osiedle;Kraków, Kraków , Swoszowice, Opatkowice, Osiedle;Łagiewniki-Borek Fałęcki, Kraków, województwo małopolskie, 30-418, Polska;(50.0199633, 19.9294446, 0.0);50.0199633;19.929444600000004;0.0;POINT (566562.5010926846 239601.1100098249);4604;2822.079298482141;347.2226653433688;8692.0
486;Mieszkanie 52,34 m2 Kraków;Kraków , Bieżanów-Prokocim, Prokocim;3 pokoje;398706.0;51.78;7700.0;https://www.otodom.pl/oferta/mieszkanie-52-34-m2-krakow-ID43Wg5.html#ebf75736ab;2020-02-10 18:47:40.351869;"""Kraków""";"Kraków, Kraków , Bieżanów-Prokocim, Prokocim, ""Kraków""";Kraków Bieżanów, Stacyjna, Bieżanów, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-851, Polska;(50.0216944, 20.0292567, 0.0);50.0216944;20.0292567;0.0;POINT (573707.8040077245 239887.1503805425);7847;2752.061209853128;792.7099252041693;7700.0
487;Mieszkanie 35,25 m2 Kraków;Kraków , Bieżanów-Prokocim, Prokocim;2 pokoje;296100.0;35.25;8400.0;https://www.otodom.pl/oferta/mieszkanie-35-25-m2-krakow-ID44gkF.html#ebf75736ab;2020-02-10 18:47:40.351869;"""Kraków""";"Kraków, Kraków , Bieżanów-Prokocim, Prokocim, ""Kraków""";Kraków Bieżanów, Stacyjna, Bieżanów, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-851, Polska;(50.0216944, 20.0292567, 0.0);50.0216944;20.0292567;0.0;POINT (573707.8040077245 239887.1503805425);7847;2752.061209853128;792.7099252041693;8400.0
488;Na sprzedaż 2 pok. mieszkanie Apartamenty Wielicka;Kraków , Bieżanów-Prokocim;2 pokoje;480000.0;48.7;9856.0;https://www.otodom.pl/oferta/na-sprzedaz-2-pok-mieszkanie-apartamenty-wielicka-ID44AKb.html#ebf75736ab;2020-02-10 18:47:40.352866;Wielicka;Kraków, Kraków , Bieżanów-Prokocim, Wielicka;Wielicka, Prokocim, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-820, Polska;(50.0180993, 19.9895841, 0.0);50.0180993;19.9895841;0.0;POINT (570872.0827279496 239449.2013470018);6027;3320.4982150760425;93.43351950150013;9856.0
489;Nowe! 3pok., I-VIp., Balkon, ok. ul. Opolskiej;Kraków , Prądnik Biały;3 pokoje;412870.0;50.35;8200.0;https://www.otodom.pl/oferta/nowe-3pok-i-vip-balkon-ok-ul-opolskiej-ID44Ayi.html#51deb94ee3;2020-02-10 18:47:41.487794;Nowe;Kraków, Kraków , Prądnik Biały, Nowe;Prądnik Biały, Kraków, województwo małopolskie, Polska;(50.1035684, 19.953603106301202, 0.0);50.1035684;19.953603106301202;0.0;POINT (568173.9969429389 248915.5791220115);4863;5338.652157178643;2274.0248095643856;8200.0
490;Nowe! 1pok., II-IVp., Balkon, ok. ul. Opolskiej;Kraków , Prądnik Biały;1 pokój;282152.0;27.13;10400.0;https://www.otodom.pl/oferta/nowe-1pok-ii-ivp-balkon-ok-ul-opolskiej-ID44AvD.html#51deb94ee3;2020-02-10 18:47:41.487794;Nowe;Kraków, Kraków , Prądnik Biały, Nowe;Prądnik Biały, Kraków, województwo małopolskie, Polska;(50.1035684, 19.953603106301202, 0.0);50.1035684;19.953603106301202;0.0;POINT (568173.9969429389 248915.5791220115);4863;5338.652157178643;2274.0248095643856;10400.0
491;Okazja! 4pok/Rondo Mateczne;Kraków , Podgórze;4 pokoje;720000.0;78.69;9150.0;https://www.otodom.pl/oferta/okazja-4pok-rondo-mateczne-ID44AuA.html#51deb94ee3;2020-02-10 18:47:41.488794;Matecznego;Kraków, Kraków , Podgórze, Matecznego;Rondo Antoniego Matecznego, Mateczny, Podgórze, Kraków, województwo małopolskie, 30-524, Polska;(50.0367797, 19.9405272, 0.0);50.0367797;19.9405272;0.0;POINT (567332.6572123085 241480.1638806006);2699;835.5567240133731;25.925364695257603;9150.0
492;2 osobne pokoje Widok, Al. Pokoju - 44,4m2 balkon;Kraków , Grzegórzki, Dąbie;2 pokoje;435000.0;44.4;9797.0;https://www.otodom.pl/oferta/2-osobne-pokoje-widok-al-pokoju-44-4m2-balkon-ID43qgm.html#51deb94ee3;2020-02-10 18:47:41.489759;Widok;Kraków, Kraków , Grzegórzki, Dąbie, Widok;Widok, Dąbie, Grzegórzki, Kraków, województwo małopolskie, 31-567, Polska;(50.0573772, 19.9789268, 0.0);50.05737720000001;19.9789268;0.0;POINT (570051.6640617081 243804.8574232338);2949;172.22589711004073;310.6636050074437;9797.0
493;Meissnera 3 pok 59m2 od strony skweru;Kraków , małopolskie;3 pokoje;539000.0;59.3;9089.0;https://www.otodom.pl/oferta/meissnera-3-pok-59m2-od-strony-skweru-ID44h4p.html#20f82b348a;2020-02-10 18:47:42.536374;Meissnera;Kraków, Kraków , małopolskie, Meissnera;Meissnera, Wieczysta, Prądnik Czerwony, Kraków, województwo małopolskie, Polska;(50.0747583, 19.979541765513375, 0.0);50.0747583;19.97954176551337;0.0;POINT (570070.3419826201 245737.3370362194);3336;1683.0592439948723;451.4491305152251;9089.0
494;3 pokojowe mieszkanie Ruczaj Dębniki z tarasem;Kraków , Dębniki, Ruczaj;3 pokoje;459000.0;59.93;7659.0;https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-ruczaj-debniki-z-tarasem-ID435wT.html#20f82b348a;2020-02-10 18:47:42.536374;Ruczaj;Kraków, Kraków , Dębniki, Ruczaj, Ruczaj;Ruczaj, Osiedle Ruczaj-Zaborze, Dębniki, Kraków, województwo małopolskie, 30-409, Polska;(50.0259495, 19.9198508, 0.0);50.0259495;19.9198508;0.0;POINT (565867.2616859295 240257.9741840241);4107;2081.2718460046985;635.6711627790163;7659.0
495;Gotowe 3 pokoje, zielona część Bronowic;Kraków , Prądnik Biały, Bronowice Wielkie;3 pokoje;396000.0;57.0;6947.0;https://www.otodom.pl/oferta/gotowe-3-pokoje-zielona-czesc-bronowic-ID44Adp.html#310b8f369d;2020-02-10 18:47:43.619285;Dzielna;Kraków, Kraków , Prądnik Biały, Bronowice Wielkie, Dzielna;Dzielna, Bronowice Wielkie, Prądnik Biały, Kraków, województwo małopolskie, 31-346, Polska;(50.0985888, 19.8879762, 0.0);50.0985888;19.8879762;0.0;POINT (563488.9167097276 248304.2412467012);5496;5456.637741617578;1871.9352129974397;6947.0
496;Mieszkanie, 62,22 m², Kraków;Kraków , Dębniki;3 pokoje;555000.0;62.22;8920.0;https://www.otodom.pl/oferta/mieszkanie-62-22-m-krakow-ID42Onc.html#2cbfc0dffb;2020-02-10 18:47:44.672782;"""Kraków""";"Kraków, Kraków , Dębniki, ""Kraków""";Kraków Sidzina, Topografów, Sidzina, Dębniki, Kraków, województwo małopolskie, 30-399, Polska;(49.9855309, 19.8746169, 0.0);49.9855309;19.8746169;0.0;POINT (562680.8089087415 235726.6111213788);9535;5855.212244920903;3754.3465494554416;8920.0
497;3 pokoje, Dwa Tarasy, Ruczaj, okol. ul. Chmielenie;Kraków , Dębniki, Ruczaj;3 pokoje;720000.0;80.0;9000.0;https://www.otodom.pl/oferta/3-pokoje-dwa-tarasy-ruczaj-okol-ul-chmielenie-ID434jm.html#2cbfc0dffb;2020-02-10 18:47:44.672782;Ruczaj;Kraków, Kraków , Dębniki, Ruczaj, Ruczaj;Ruczaj, Osiedle Ruczaj-Zaborze, Dębniki, Kraków, województwo małopolskie, 30-409, Polska;(50.0259495, 19.9198508, 0.0);50.0259495;19.9198508;0.0;POINT (565867.2616859295 240257.9741840241);4107;2081.2718460046985;635.6711627790163;9000.0
498;Mieszkanie, 21 m², Kraków;Kraków , Bieżanów-Prokocim, Bieżanów;1 pokój;215000.0;21.0;10238.0;https://www.otodom.pl/oferta/mieszkanie-21-m-krakow-ID41Ody.html#2cbfc0dffb;2020-02-10 18:47:44.672782;"""Kraków""";"Kraków, Kraków , Bieżanów-Prokocim, Bieżanów, ""Kraków""";Kraków Bieżanów, Stacyjna, Bieżanów, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-851, Polska;(50.0216944, 20.0292567, 0.0);50.0216944;20.0292567;0.0;POINT (573707.8040077245 239887.1503805425);7847;2752.061209853128;792.7099252041693;10238.0
