;opis;dzielnica;pokoje;cena;metraz;cena_za_metr;link;data;pietro;l_pieter;rok_bud;ulica;lokator_ulica_dzielnica;geo_location;point;latitude;longitude;altitude;geometry
65,50 m²;Bronowice 3p parter - 2016r;Kraków , Bronowice;3 pokoje;664000.0;65.5;10137.0;https://www.otodom.pl/oferta/bronowice-3p-parter-2016r-ID44JVp.html#a4ecda7d5f;2020-02-23 10:11:51.073319;1.0;3.0;2016.0;Bronowicka;Kraków , Bronowice, Bronowicka;Bronowicka, Stara Krowodrza, Bronowice, Delegatura Kraków-Krowodrza, Kraków, województwo małopolskie, 30-084, Polska;(50.0769526, 19.9030181, 0.0);50.0769526;19.9030181;0.0;POINT (564593.4482024474 245912.2633061446)
83,50 m²;Jasne Komfortowe Zadbane Taras Garaż Bronowice;Kraków , Bronowice;3 pokoje;899000.0;83.5;10766.0;https://www.otodom.pl/oferta/jasne-komfortowe-zadbane-taras-garaz-bronowice-ID43Am2.html#a4ecda7d5f;2020-02-23 10:11:52.732095;3.0;3.0;2000.0;Bronowicka;Kraków , Bronowice, Bronowicka;Bronowicka, Stara Krowodrza, Bronowice, Delegatura Kraków-Krowodrza, Kraków, województwo małopolskie, 30-084, Polska;(50.0769526, 19.9030181, 0.0);50.0769526;19.9030181;0.0;POINT (564593.4482024474 245912.2633061446)
39,01 m²;Przytulne, do wprowadzenia 39+16 m2 Chełmońskiego;Kraków , Bronowice;2 pokoje;399000.0;39.01;10228.0;https://www.otodom.pl/oferta/przytulne-do-wprowadzenia-39-16-m2-chelmonskiego-ID44umI.html#a4ecda7d5f;2020-02-23 10:11:54.806656;2.0;2.0;2008.0;Chełmońskiego;Kraków , Bronowice, Chełmońskiego;Józefa Chełmońskiego, Bronowice Wielkie, Bronowice, Delegatura Kraków-Krowodrza, Kraków, województwo małopolskie, 31-346, Polska;(50.0983351, 19.890461, 0.0);50.0983351;19.890461;0.0;POINT (563666.9097622773 248278.1576568913)
39,01 m²;Przytulne, do wprowadzenia 39m Chełmońskiego;Kraków , Prądnik Biały;2 pokoje;399000.0;39.01;10228.0;https://www.otodom.pl/oferta/przytulne-do-wprowadzenia-39m-chelmonskiego-ID44t8p.html#a4ecda7d5f;2020-02-23 10:11:59.271985;2.0;2.0;2008.0;Chełmońskiego;Kraków , Prądnik Biały, Chełmońskiego;Józefa Chełmońskiego, Bronowice Wielkie, Bronowice, Delegatura Kraków-Krowodrza, Kraków, województwo małopolskie, 31-346, Polska;(50.0983351, 19.890461, 0.0);50.0983351;19.890461;0.0;POINT (563666.9097622773 248278.1576568913)
63,32 m²;Przestronne, funkcjonalne 3pok Głowackiego;Kraków , Krowodrza;3 pokoje;570000.0;63.32;9002.0;https://www.otodom.pl/oferta/przestronne-funkcjonalne-3pok-glowackiego-ID44Ol6.html#a4ecda7d5f;2020-02-23 10:12:11.990420;2.0;4.0;2004.0;Słowackiego;Kraków , Krowodrza, Słowackiego;Aleja Juliusza Słowackiego, Kleparz, Krowodrza, Kraków, województwo małopolskie, 30-004, Polska;(50.0735485, 19.9360058, 0.0);50.0735485;19.9360058;0.0;POINT (566957.7834913594 245562.9411296882)
55 m²;Ciche mieszkanie w centrum ul. Wrocławska, GOTOWE!;Kraków , Krowodrza;3 pokoje;708000.0;55.0;12873.0;https://www.otodom.pl/oferta/ciche-mieszkanie-w-centrum-ul-wroclawska-gotowe-ID44H6H.html#5a3ac0e744;2020-02-23 10:12:16.776122;7.0;9.0;2019.0;Wrocławska;Kraków , Krowodrza, Wrocławska;Wrocławska, Stara Krowodrza, Krowodrza, Kraków, województwo małopolskie, 30-017, Polska;(50.0808192, 19.9179102, 0.0);50.0808192;19.9179102;0.0;POINT (565653.3926503791 246355.0193398139)
67 m²;KROWODERSKICH Zuchów 5 Niezależnych pokoi K GÓRKA!;Kraków , Krowodrza;5 pokoi;544000.0;67.0;8119.0;https://www.otodom.pl/oferta/krowoderskich-zuchow-5-niezaleznych-pokoi-k-gorka-ID44E7R.html#5a3ac0e744;2020-02-23 10:12:17.684249;4.0;4.0;1980.0;Zuchów;Kraków , Krowodrza, Zuchów;Krowoderskich Zuchów, Prądnik Biały, Kraków, województwo małopolskie, 31-271, Polska;(50.0838836, 19.930691, 0.0);50.0838836;19.930691;0.0;POINT (566563.2797053672 246706.9391442938)
51 m²;Okazja ! Obozowa - mieszkanie po remoncie 2 pokoje;Kraków , Podgórze;2 pokoje;413000.0;51.0;8098.0;https://www.otodom.pl/oferta/okazja-obozowa-mieszkanie-po-remoncie-2-pokoje-ID44Edt.html#5a3ac0e744;2020-02-23 10:12:28.990861;1.0;3.0;2005.0;Obozowa;Kraków , Podgórze, Obozowa;Obozowa, Kobierzyn, Łagiewniki-Borek Fałęcki, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-384, Polska;(50.0162831, 19.9088353, 0.0);50.0162831;19.9088353;0.0;POINT (565091.5527027509 239173.914675843)
48,40 m²;Widokowe dwupokojowe z jasną kuchnią Żabiniec;Kraków , Prądnik Biały;2 pokoje;480000.0;48.4;9917.0;https://www.otodom.pl/oferta/widokowe-dwupokojowe-z-jasna-kuchnia-zabiniec-ID44ERi.html#5a3ac0e744;2020-02-23 10:12:34.868380;6.0;7.0;2001.0;Żabiniec;Kraków , Prądnik Biały, Żabiniec;Żabiniec, Prądnik Biały, Kraków, województwo małopolskie, 31-200, Polska;(50.0851745, 19.9473248, 0.0);50.0851745;19.9473248;0.0;POINT (567751.0951210554 246865.3778822608)
38 m²;Felińskiego, 2 pokoje, 38m2;Kraków , Prądnik Biały;2 pokoje;365000.0;38.0;9605.0;https://www.otodom.pl/oferta/felinskiego-2-pokoje-38m2-ID44O7S.html#eace19cb28;2020-02-23 10:12:59.661052;1.0;5.0;2013.0;Felińskiego;Kraków , Prądnik Biały, Felińskiego;Arcybiskupa Zygmunta Szczęsnego Felińskiego, Osiedle Gotyk, Prądnik Biały, Kraków, województwo małopolskie, 31-241, Polska;(50.1003129, 19.9670423, 0.0);50.1003129;19.9670423;0.0;POINT (569139.4476888189 248566.0846677488)
