51 m²;Stara Huta,ul. Żeromskiego, 51m2.Wysoki Parter ENG;Kraków , Nowa Huta;2 pokoje;445 000 zł;51 m²;8 725 zł/m²;https://www.otodom.pl/oferta/stara-huta-ul-zeromskiego-51m2-wysoki-parter-eng-ID44tIE.html#bcc2421ba9;2020-02-23 10:10:13.249555;0;4;1950
43,12 m²;2 pokoje do wejścia Kraków, Wola Duchacka, Bonarka;Kraków , Podgórze Duchackie, Wola Duchacka;2 pokoje;369 000 zł;43,12 m²;8 558 zł/m²;https://www.otodom.pl/oferta/2-pokoje-do-wejscia-krakow-wola-duchacka-bonarka-ID44N6J.html#bcc2421ba9;2020-02-23 10:10:14.234401;;;
54 m²;BezposrednioNowa Huta 2 pokoje 54m wolneVIII 2020;Kraków , Mistrzejowice;2 pokoje;385 000 zł;54 m²;7 130 zł/m²;https://www.otodom.pl/oferta/bezposrednionowa-huta-2-pokoje-54m-wolneviii-2020-ID44x2m.html#bcc2421ba9;2020-02-23 10:10:15.297363;3;7;1994
25 m²;Mieszkanie, 25 m², Kraków;Kraków , Bieżanów-Prokocim, Kozłówek;1 pokój;259 000 zł;25 m²;10 360 zł/m²;https://www.otodom.pl/oferta/mieszkanie-25-m-krakow-ID44OCm.html#bcc2421ba9;2020-02-23 10:10:16.522940;;;
64,68 m²;Umeblowane, gotowe,3-pok.mieszkanie na Zabłociu;Kraków , Podgórze, Zabłocie;3 pokoje;779 000 zł;64,68 m²;12 044 zł/m²;https://www.otodom.pl/oferta/umeblowane-gotowe-3-pok-mieszkanie-na-zablociu-ID44OCd.html#bcc2421ba9;2020-02-23 10:10:17.861088;1;7;2005
54,20 m²;Sprzedam 2-pok.dwustronne mieszkanie,Wawrzyńca;Kraków , Stare Miasto, Kazimierz;2 pokoje;780 000 zł;54,20 m²;14 391 zł/m²;https://www.otodom.pl/oferta/sprzedam-2-pok-dwustronne-mieszkanie-wawrzynca-ID44OCc.html#bcc2421ba9;2020-02-23 10:10:19.009481;3;4;1950
33,29 m²;mieszkanie Stare Miasto, inwestycja;Kraków , Stare Miasto;1 pokój;832 250 zł;33,29 m²;25 000 zł/m²;https://www.otodom.pl/oferta/mieszkanie-stare-miasto-inwestycja-ID44OA8.html#bcc2421ba9;2020-02-23 10:10:20.161077;1;5;2020
33 m²;2 pokoje + balkon, nowe budownictwo, bez PCC;Kraków , Wzgórza Krzesławickie;2 pokoje;235 650 zł;33 m²;7 141 zł/m²;https://www.otodom.pl/oferta/2-pokoje-balkon-nowe-budownictwo-bez-pcc-ID43K9w.html#bcc2421ba9;2020-02-23 10:10:21.253141;;;
60 m²;Apartament o wysokim standardzie, bez pośrednika;Kraków , Krowodrza;2 pokoje;639 999 zł;60 m²;10 667 zł/m²;https://www.otodom.pl/oferta/apartament-o-wysokim-standardzie-bez-posrednika-ID44vfM.html#bcc2421ba9;2020-02-23 10:10:22.614808;2;5;2001
40,29 m²;2-pokojowe mieszkanie- Ruczaj;Kraków , Dębniki, Ruczaj;2 pokoje;359 000 zł;40,29 m²;8 910 zł/m²;https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-ruczaj-ID44IRP.html#bcc2421ba9;2020-02-23 10:10:23.492430;3;7;2021
