3pok balkon 14,5m2 Prądnik Biały/ok.29 Listopada;Mieszkanie na sprzedaż: , Prądnik Biały;3 pokoje;419 750 zł;57,50 m²;7 300 zł/m²;https://www.otodom.pl/oferta/3pok-balkon-14-5m2-pradnik-bialy-ok-29-listopada-ID44z6u.html#de3f47c1fe;2020-02-14 16:25:26.979002
LIBERTÓW Apartament 81 m2 nowe kameralne osiedle;Mieszkanie na sprzedaż: , małopolskie;5 pokoi;413 100 zł;81 m²;5 100 zł/m²;https://www.otodom.pl/oferta/libertow-apartament-81-m2-nowe-kameralne-osiedle-ID3cElA.html#de3f47c1fe;2020-02-14 16:25:26.979002
PEŁNA INFRASTRUKTURA-3pok.na nowym osieldu!Sprawdź;Mieszkanie na sprzedaż: , Mistrzejowice;3 pokoje;385 350 zł;51,38 m²;7 500 zł/m²;https://www.otodom.pl/oferta/pelna-infrastruktura-3pok-na-nowym-osieldu-sprawdz-ID43v6d.html#de3f47c1fe;2020-02-14 16:25:26.979002
Mieszkanie 4 pokojowe Stare Dębniki widok na Wawel;Mieszkanie na sprzedaż: , Dębniki, Stare Dębniki;4 pokoje;869 000 zł;99 m²;8 778 zł/m²;https://www.otodom.pl/oferta/mieszkanie-4-pokojowe-stare-debniki-widok-na-wawel-ID43Cvp.html#de3f47c1fe;2020-02-14 16:25:26.979002
NOWE MIESZKANIE-3pok.w pobliżu zieleni!DLA RODZINY;Mieszkanie na sprzedaż: , Prądnik Biały;3 pokoje;403 463 zł;50,75 m²;7 950 zł/m²;https://www.otodom.pl/oferta/nowe-mieszkanie-3pok-w-poblizu-zieleni-dla-rodziny-ID43ydp.html#de3f47c1fe;2020-02-14 16:25:26.979002
PROMIENISTYCH 2 pokoje BEZ PCC 2% system 30/70;Mieszkanie na sprzedaż: , Prądnik Czerwony;2 pokoje;422 000 zł;45,12 m²;9 353 zł/m²;https://www.otodom.pl/oferta/promienistych-2-pokoje-bez-pcc-2-system-30-70-ID44vIz.html#de3f47c1fe;2020-02-14 16:25:26.979002
Ruczaj / 3 pokoje, nowe budownictwo.;Mieszkanie na sprzedaż: , Dębniki, Ruczaj;3 pokoje;490 000 zł;55,45 m²;8 837 zł/m²;https://www.otodom.pl/oferta/ruczaj-3-pokoje-nowe-budownictwo-ID44Hhh.html#de3f47c1fe;2020-02-14 16:25:26.979002
Mieszkanie 2 pokojowe Dębnik;Mieszkanie na sprzedaż: , Dębniki, Stare Dębniki;2 pokoje;644 000 zł;52 m²;12 385 zł/m²;https://www.otodom.pl/oferta/mieszkanie-2-pokojowe-debnik-ID44HgI.html#de3f47c1fe;2020-02-14 16:25:26.979002
Mieszkanie, 171 m², Kraków;Mieszkanie na sprzedaż: , Stare Miasto;4 pokoje;525 000 zł;171 m²;3 070 zł/m²;https://www.otodom.pl/oferta/mieszkanie-171-m-krakow-ID44HgC.html#de3f47c1fe;2020-02-14 16:25:26.979002
2pokojowe, 40m2, ul. Niebyła, 2015 rok, Wzgórza;Mieszkanie na sprzedaż: , Wzgórza Krzesławickie;2 pokoje;334 000 zł;39,14 m²;8 533 zł/m²;https://www.otodom.pl/oferta/2pokojowe-40m2-ul-niebyla-2015-rok-wzgorza-ID44Hgg.html#de3f47c1fe;2020-02-14 16:25:26.979002
